id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
168,p5_31.png,L5,218.00,15.4,1.076011846,19.37578798,19.36849951,19.84925982,18.8,198.2204788,1.099785458,58737,10568,5.558005299,0.6895,0.6286,1.09688196
169,p5_32.png,L5,115.00,6.3,1.057957682,15.56563714,15.55907084,15.91010837,18,110.1224882,1.044291696,56895,14309,3.976168845,0.6424,0.6224,1.032133676
170,p5_33.png,L5,111.92,7.1,1.067735165,17.62907723,17.62211982,18.04341053,17.9,99.1102394,1.1292476,61107,12959,4.71541014,0.6426,0.604,1.063907285
171,p5_34.png,L5,127.85,9.1,1.076631579,19.50657642,19.49926316,19.98447638,18,110.1224882,1.160979942,60551,17053,3.550753533,0.693,0.55,1.26
172,p6_1.png,L6,46.65,2.5,1.056625142,15.28441788,15.27790487,15.61936784,17.2,22.02449764,2.118095983,64004,20758,3.083341362,0.6574,0.6373,1.031539306
173,p6_2.png,L6,41.33,-0.4,0.9904145699,1.311338822,1.307474239,1.173201006,17.1,11.01224882,3.753093548,58251,13823,4.214063517,0.7206,0.4205,1.713674197
174,p6_3.png,L6,33.64,2.7,1.087265676,21.75079616,21.74305753,22.30467886,17.2,22.02449764,1.527390115,59031,15454,3.819787757,0.6544,0.5172,1.265274555
175,p6_4.png,L6,48.98,2.9,1.062934028,16.61584522,16.60907986,16.99587344,17.4,44.04899529,1.111943636,59197,15754,3.757585375,0.6997,0.4738,1.476783453
176,p6_5.png,L6,44.41,3,1.072446269,18.62330861,18.61616276,19.07130369,17.3,33.03674647,1.344260702,62766,17033,3.684964481,0.6908,0.6189,1.116173857
177,p6_6.png,L6,30.49,0.7,1.023497818,8.293227523,8.288039611,8.391476133,17.2,22.02449764,1.384367557,53207,12903,4.123614663,0.6772,0.5653,1.197947992
178,p6_7.png,L6,30.38,0.6,1.02014775,7.586229195,7.581175285,7.6605409,17.1,11.01224882,2.758746237,58332,17536,3.326414234,0.6745,0.5912,1.140899865
179,p6_8.png,L6,27.00,2,1.08,20.217448,20.21,20.719416,17.1,11.01224882,2.451815286,57959,9257.4,6.260829174,0.636,0.5848,1.0875513
180,p6_9.png,L6,31.65,2.4,1.082051282,20.65035056,20.64282051,21.16697538,17.2,22.02449764,1.437036182,60888,16944,3.593484419,0.7075,0.5618,1.259344963
181,p6_10.png,L6,42.69,0.8,1.019097637,7.364613242,7.359601337,7.431421676,17.3,33.03674647,1.292197464,61999,61999,3.929956897,0.649,0.5765,1.12575889
182,p6_11.png,L6,36.22,3.4,1.103595369,25.19701461,25.18862279,25.86757623,17.3,33.03674647,1.096354934,59314,15071,3.93563798,0.6645,0.5975,1.112133891
183,p6_12.png,L6,33.31,2.8,1.091773189,22.70206183,22.6941429,23.28815162,17.3,33.03674647,1.0082712,56216,14774,3.805062948,0.6453,0.5987,1.07783531
184,p6_13.png,L6,39.14,2.4,1.065323898,17.12020336,17.11334241,17.51730768,17.3,33.03674647,1.184741362,60820,16928,3.592863894,0.6707,0.5997,1.11839253
185,p6_14.png,L6,40.00,2,1.052631579,14.44161642,14.43526316,14.74803158,17.4,44.04899529,0.9080797357,60064,19274,3.116322507,0.6133,0.5596,1.095961401
186,p6_15.png,L6,43.08,2.2,1.053816047,14.69158655,14.68518591,15.00646497,17.4,44.04899529,0.9780018753,61489,12672,4.852351641,0.7279,0.549,1.325865209
187,p6_16.png,L6,33.12,1.5,1.04743833,13.3456332,13.33948767,13.61494156,17.5,55.06124411,0.6015120169,57085,17983,3.174386921,0.6457,1,1.146687977
188,p6_17.png,L6,29.93,1.9,1.067784517,17.63949238,17.632533,18.05417831,17.5,55.06124411,0.5435765298,59658,15372,3.880952381,0.6871,0.6369,1.078819281
